64
# x y z
0.0 0.0 0.0
0.5 0.0 0.0
1.0 0.0 0.0
1.5 0.0 0.0
2.0 0.0 0.0
2.5 0.0 0.0
3.0 0.0 0.0
3.5 0.0 0.0
4.0 0.0 0.0
4.5 0.0 0.0
5.0 0.0 0.0
5.5 0.0 0.0
6.0 0.0 0.0
6.5 0.0 0.0
7.0 0.0 0.0
7.5 0.0 0.0
8.0 0.0 0.0
8.5 0.0 0.0
9.0 0.0 0.0
9.5 0.0 0.0
10.0 0.0 0.0
10.5 0.0 0.0
11.0 0.0 0.0
11.5 0.0 0.0
12.0 0.0 0.0
12.5 0.0 0.0
13.0 0.0 0.0
13.5 0.0 0.0
14.0 0.0 0.0
14.5 0.0 0.0
15.0 0.0 0.0
15.5 0.0 0.0
16.0 0.0 0.0
16.5 0.0 0.0
17.0 0.0 0.0
17.5 0.0 0.0
18.0 0.0 0.0
18.5 0.0 0.0
19.0 0.0 0.0
19.5 0.0 0.0
20.0 0.0 0.0
20.5 0.0 0.0
21.0 0.0 0.0
21.5 0.0 0.0
22.0 0.0 0.0
22.5 0.0 0.0
23.0 0.0 0.0
23.5 0.0 0.0
24.0 0.0 0.0
24.5 0.0 0.0
25.0 0.0 0.0
25.5 0.0 0.0
26.0 0.0 0.0
26.5 0.0 0.0
27.0 0.0 0.0
27.5 0.0 0.0
28.0 0.0 0.0
28.5 0.0 0.0
29.0 0.0 0.0
29.5 0.0 0.0
30.0 0.0 0.0
30.5 0.0 0.0
31.0 0.0 0.0
31.5 0.0 0.0
1400
# a b m n r rhoa k
5 27 18 23 0.274567 5.38248 19.6035
5 27 19 24 0.419238 5.79876 13.8317
5 27 20 25 0.769173 6.46433 8.40426
5 27 21 26 2.30631 8.54206 3.70377
5 61 8 20 0.442207 5.10394 11.542
5 61 9 21 0.311725 5.06709 16.255
5 61 10 22 0.214645 4.58073 21.3409
5 61 11 23 0.164194 4.39277 26.7536
5 61 12 24 0.132895 4.31106 32.4396
5 61 13 25 0.108828 4.17226 38.3381
5 61 14 26 0.0937247 4.1596 44.381
5 61 15 27 0.0840454 4.24372 50.4932
5 61 16 28 0.0736673 4.16908 56.5934
5 61 17 29 0.0662177 4.14488 62.5948
5 61 18 30 0.0607088 4.15288 68.4065
5 61 19 31 0.055576 4.10905 73.9358
5 61 20 32 0.0522986 4.13626 79.0892
5 61 21 33 0.0494488 4.14261 83.7758
5 61 22 34 0.0471586 4.14568 87.9092
5 61 23 35 0.0454174 4.15163 91.4105
5 61 24 36 0.0440414 4.14916 94.2106
5 61 25 37 0.0433643 4.17395 96.2531
5 61 26 38 0.0420576 4.10044 97.4958
5 61 27 39 0.0418874 4.10132 97.913
5 61 28 40 0.0424056 4.13437 97.4958
5 61 29 41 0.0428992 4.12918 96.2531
5 61 30 42 0.044212 4.16524 94.2106
5 61 31 43 0.0451656 4.12861 91.4105
5 61 32 44 0.046315 4.07152 87.9092
5 61 33 45 0.0487325 4.0826 83.7758
5 61 34 46 0.0515544 4.07739 79.0892
5 61 35 47 0.0543761 4.02033 73.9358
5 61 36 48 0.0591135 4.04375 68.4065
5 61 37 49 0.0644433 4.03381 62.5948
5 61 38 50 0.0704744 3.98839 56.5934
5 61 39 51 0.0804512 4.06224 50.4932
5 61 40 52 0.0915462 4.06291 44.381
5 61 41 53 0.107628 4.12626 38.3381
5 61 42 54 0.128859 4.18014 32.4396
5 61 43 55 0.155845 4.16942 26.7536
5 61 44 56 0.197406 4.21284 21.3409
5 61 45 57 0.281755 4.57992 16.255
5 61 46 58 0.426176 4.9189 11.542
6 18 7 10 2.01064 8.05597 4.00667
6 18 8 11 0.654779 5.99972 9.16298
6 18 9 12 0.419087 5.9247 14.1372
6 18 10 13 0.307513 5.30397 17.248
6 18 11 14 0.304166 5.24625 17.248
6 18 12 15 0.382346 5.40528 14.1372
6 18 13 16 0.789586 7.23496 9.16298
6 18 14 17 2.27756 9.12544 4.00667
6 28 7 12 2.12279 7.86235 3.70377
