64
# x y z
0.0 0.0 0.0
0.5 0.0 0.0
1.0 0.0 0.0
1.5 0.0 0.0
2.0 0.0 0.0
2.5 0.0 0.0
3.0 0.0 0.0
3.5 0.0 0.0
4.0 0.0 0.0
4.5 0.0 0.0
5.0 0.0 0.0
5.5 0.0 0.0
6.0 0.0 0.0
6.5 0.0 0.0
7.0 0.0 0.0
7.5 0.0 0.0
8.0 0.0 0.0
8.5 0.0 0.0
9.0 0.0 0.0
9.5 0.0 0.0
10.0 0.0 0.0
10.5 0.0 0.0
11.0 0.0 0.0
11.5 0.0 0.0
12.0 0.0 0.0
12.5 0.0 0.0
13.0 0.0 0.0
13.5 0.0 0.0
14.0 0.0 0.0
14.5 0.0 0.0
15.0 0.0 0.0
15.5 0.0 0.0
16.0 0.0 0.0
16.5 0.0 0.0
17.0 0.0 0.0
17.5 0.0 0.0
18.0 0.0 0.0
18.5 0.0 0.0
19.0 0.0 0.0
19.5 0.0 0.0
20.0 0.0 0.0
20.5 0.0 0.0
21.0 0.0 0.0
21.5 0.0 0.0
22.0 0.0 0.0
22.5 0.0 0.0
23.0 0.0 0.0
23.5 0.0 0.0
24.0 0.0 0.0
24.5 0.0 0.0
25.0 0.0 0.0
25.5 0.0 0.0
26.0 0.0 0.0
26.5 0.0 0.0
27.0 0.0 0.0
27.5 0.0 0.0
28.0 0.0 0.0
28.5 0.0 0.0
29.0 0.0 0.0
29.5 0.0 0.0
30.0 0.0 0.0
30.5 0.0 0.0
31.0 0.0 0.0
31.5 0.0 0.0
1832
# a b m n r rhoa k
2 5 43 46 -0.000283935 3.39716 -11964.6
2 5 44 47 -0.000269972 3.47314 -12864.8
2 5 47 50 -0.000230077 3.64295 -15833.6
2 5 48 51 -0.000219458 3.71237 -16916.1
2 5 49 52 -0.000203557 3.67353 -18046.7
2 5 52 55 -0.000175991 3.82571 -21738.1
2 5 53 56 -0.00016319 3.7651 -23071.9
2 5 55 58 -0.000148662 3.85045 -25900.7
2 5 62 1 -2.25275 9.42526 -4.1839
2 5 64 3 -1.58146 9.92036 -6.2729
3 6 4 7 3.68573 9.26325 2.51327
3 6 5 8 -0.927123 14.5632 -15.708
3 6 7 10 -1.84787 9.03039 -4.88692
3 6 8 11 -0.552298 7.71154 -13.9626
3 6 9 12 -0.240633 6.80374 -28.2743
3 6 10 13 -0.125152 6.11608 -48.8692
3 6 11 14 -0.0721335 5.53945 -76.7945
3 6 12 15 -0.0455966 5.15686 -113.097
3 6 13 16 -0.0295832 4.69855 -158.825
3 6 14 17 -0.0212064 4.5599 -215.025
3 6 15 18 -0.0161141 4.55615 -282.743
3 6 16 19 -0.011873 4.31024 -363.028
3 6 17 20 -0.00879927 4.02063 -456.927
3 6 18 21 -0.00692383 3.91533 -565.487
3 6 19 22 -0.00553889 3.82047 -689.754
3 6 20 23 -0.00470704 3.9105 -830.777
3 6 21 24 -0.0039302 3.88934 -989.602
3 6 22 25 -0.00329709 3.84861 -1167.28
3 6 23 26 -0.002671 3.6455 -1364.85
3 6 24 27 -0.00226519 3.58661 -1583.36
3 6 25 28 -0.00196471 3.58337 -1823.87
