,meas,a,b,m,n,r,k,rhoa,ip,v,ctc,stk,day,time,rec_num,rec_fnd,rec_avg,rec_err,rec_ip_avg,rec_ip_err,rec_valid,k_valid,rhoa_valid,v_valid,ctc_valid,stk_valid,valid
749,750,16,23,3,57,0.040719875,98.34503725747841,4.004597623994864,,0.029695,202.0,0.021889206937194816,202,20191230,117.0,2.0,0.040734384,0.07123711506229899,0.040734384,0.07123711506229899,True,True,True,True,True,True,True
750,751,16,23,6,60,0.059502505,69.0820898464573,4.110557396499274,,0.0433923,202.0,0.02120191831269603,202,20191230,265.0,2.0,0.0594738715,0.09628934279148069,0.0594738715,0.09628934279148069,True,True,True,True,True,True,True
751,752,16,23,9,63,0.104452428,41.803194460305,4.366445159535007,,0.0761721,202.0,0.03413323250901576,202,20191230,434.0,2.0,0.10443667749999999,0.030162774950403058,0.10443667749999999,0.030162774950403058,True,True,True,True,True,True,True
752,753,16,28,17,20,2.25582467,4.00666889153481,9.038342530045778,,1.467041,220.0,0.0,220,20191230,784.0,1.0,2.25727916,0.12887107857762486,2.25727916,0.12887107857762486,True,True,True,True,True,True,True
753,754,16,28,18,21,0.795715235,9.16297857297023,7.291121648490971,,0.5174813,220.0,0.028464796698933856,220,20191230,834.0,1.0,0.7956564909999999,0.014766171247134204,0.7956564909999999,0.014766171247134204,True,True,True,True,True,True,True
754,755,16,28,19,22,0.430578974,14.1371669411541,6.0871668367888505,,0.2800205,220.0,0.0,220,20191230,884.0,1.0,0.430485438,0.0434560576239539,0.430485438,0.0434560576239539,True,True,True,True,True,True,True
755,756,16,28,20,23,0.344234029,17.2479596667675,5.937334648120874,,0.2238674,220.0,0.02322803588195512,220,20191230,934.0,1.0,0.344156602,0.04499521412638252,0.344156602,0.04499521412638252,True,True,True,True,True,True,True
756,757,16,28,21,24,0.3552951,17.2479596667675,6.128115554600125,,0.2310608,220.0,0.022504899143428913,220,20191230,984.0,1.0,0.3552616445,0.018834287640062793,0.3552616445,0.018834287640062793,True,True,True,True,True,True,True
757,758,16,28,22,25,0.470099228,14.1371669411541,6.645871265143663,,0.3057219,220.0,0.02407416675089354,220,20191230,1034.0,1.0,0.470120596,0.009090433468276123,0.470120596,0.009090433468276123,True,True,True,True,True,True,True
758,759,16,28,23,26,0.832513614,9.16297857297023,7.6283044067880095,,0.5414126,220.0,0.0,220,20191230,1084.0,1.0,0.8326375564999999,0.02977105681395573,0.8326375564999999,0.02977105681395573,True,True,True,True,True,True,True
