64
# x y z
0.0 0.0 0.0
0.5 0.0 0.0
1.0 0.0 0.0
1.5 0.0 0.0
2.0 0.0 0.0
2.5 0.0 0.0
3.0 0.0 0.0
3.5 0.0 0.0
4.0 0.0 0.0
4.5 0.0 0.0
5.0 0.0 0.0
5.5 0.0 0.0
6.0 0.0 0.0
6.5 0.0 0.0
7.0 0.0 0.0
7.5 0.0 0.0
8.0 0.0 0.0
8.5 0.0 0.0
9.0 0.0 0.0
9.5 0.0 0.0
10.0 0.0 0.0
10.5 0.0 0.0
11.0 0.0 0.0
11.5 0.0 0.0
12.0 0.0 0.0
12.5 0.0 0.0
13.0 0.0 0.0
13.5 0.0 0.0
14.0 0.0 0.0
14.5 0.0 0.0
15.0 0.0 0.0
15.5 0.0 0.0
16.0 0.0 0.0
16.5 0.0 0.0
17.0 0.0 0.0
17.5 0.0 0.0
18.0 0.0 0.0
18.5 0.0 0.0
19.0 0.0 0.0
19.5 0.0 0.0
20.0 0.0 0.0
20.5 0.0 0.0
21.0 0.0 0.0
21.5 0.0 0.0
22.0 0.0 0.0
22.5 0.0 0.0
23.0 0.0 0.0
23.5 0.0 0.0
24.0 0.0 0.0
24.5 0.0 0.0
25.0 0.0 0.0
25.5 0.0 0.0
26.0 0.0 0.0
26.5 0.0 0.0
27.0 0.0 0.0
27.5 0.0 0.0
28.0 0.0 0.0
28.5 0.0 0.0
29.0 0.0 0.0
29.5 0.0 0.0
30.0 0.0 0.0
30.5 0.0 0.0
31.0 0.0 0.0
31.5 0.0 0.0
1907
# a b m n r rhoa
5 8 22 25 -0.004587281 3.8110062810148877
5 8 23 26 -0.003642679 3.6048012795225244
5 8 24 27 -0.002996538 3.4977875009840735
5 8 25 28 -0.002563548 3.4988520149940103
5 8 26 29 -0.002250149 3.5628019902127486
5 8 27 30 -0.001977812 3.6072701297799634
5 8 28 31 -0.001721563 3.593614338609135
5 8 29 32 -0.001501672 3.5665371428159225
5 8 30 33 -0.001337704 3.5954902394331443
5 8 31 34 -0.001166952 3.5320719529401505
5 8 32 35 -0.001059315 3.594171119584483
5 8 33 36 -0.000918337 3.478076931556492
5 8 34 37 -0.00082452 3.4721612532485957
5 8 35 38 -0.000713193 3.3272344057466072
5 8 36 39 -0.00065117 3.354056651871187
5 8 37 40 -0.000592619 3.359456016407819
5 8 38 41 -0.000548246 3.4102838998008282
5 8 39 42 -0.000517601 3.523017571196706
5 8 40 43 -0.000477707 3.5484655401813696
5 8 41 44 -0.000431208 3.4869460239105217
5 8 42 45 -0.000385723 3.387611011657232
5 8 43 46 -0.000361781 3.443171224417188
5 8 44 47 -0.000354714 3.650665953017423
5 8 45 48 -0.000337871 3.7528262330543942
5 8 46 49 -0.000306819 3.670960804922373
5 8 47 50 -0.000282662 3.6363962925475897
5 8 48 51 -0.000260318 3.594742987185904
5 8 49 52 -0.000250323 3.7043542655971646
5 8 50 53 -0.000244017 3.863674153337276
5 8 51 54 -0.000230366 3.8968897258657433
5 8 52 55 -0.000204209 3.685299472220019
5 8 53 56 -0.000188667 3.627414950389775
5 8 54 57 -0.000176493 3.610456427995075
5 8 55 58 -0.000172226 3.7438618485158885
5 8 56 59 -0.000167913 3.874064631747013
5 8 58 61 -0.000153539 3.976765443045717
5 8 62 1 -0.189516576 5.506821696011005
5 8 63 2 -0.322188189 6.0390282642609705
5 8 64 3 -0.648063684 6.766028733843162
6 9 7 10 3.23683634 8.135057013293165
6 9 8 11 -0.70865793 11.131572733980773
6 9 10 13 -1.71506723 8.381399615836479
6 9 11 14 -0.515464955 7.197248514715507
6 9 12 15 -0.229061876 6.476571961731857
6 9 13 16 -0.115696101 5.653978103675729
6 9 14 17 -0.068702914 5.276005042063833
6 9 15 18 -0.045788772 5.178588110355548
6 9 16 19 -0.030234427 4.801981717295232
6 9 17 20 -0.020218518 4.347478014556476
6 9 18 21 -0.014548602 4.113520304688154
6 9 19 22 -0.010855969 3.9410259729242805
6 9 20 23 -0.008670318 3.961704111001256
6 9 21 24 -0.006900203 3.9019728695540867
6 9 22 25 -0.005514268 3.803489073924578
6 9 23 26 -0.004309674 3.580376847009493
6 9 24 27 -0.003489545 3.453259614956857
6 9 25 28 -0.002951627 3.445363959398185
6 9 26 29 -0.002564794 3.5005526149479347
6 9 27 30 -0.00223652 3.541222340009758
6 9 28 31 -0.001950443 3.557352657248728
6 9 29 32 -0.001689297 3.5262618454098957
6 9 30 33 -0.001494412 3.549294323041136
6 9 31 34 -0.001298944 3.4913108382499014
6 9 32 35 -0.001172596 3.5491549298769858
6 9 33 36 -0.001014682 3.4427349182841955
6 9 34 37 -0.000907481 3.436961302796051
6 9 35 38 -0.000783324 3.2986795244987417
6 9 36 39 -0.000711183 3.3178572229145398
6 9 37 40 -0.000645699 3.325876539239483
6 9 38 41 -0.000595294 3.3746201350808467
6 9 39 42 -0.000560917 3.4891019984178295
6 9 40 43 -0.000518556 3.529517716637872
6 9 41 44 -0.000469582 3.488112054647405
6 9 42 45 -0.000420433 3.3998144229021086
6 9 43 46 -0.000393471 3.455657796832916
6 9 44 47 -0.000363595 3.4604355710829684
6 9 45 48 -0.000346051 3.561507591207655
6 9 46 49 -0.000312988 3.4764439002791856
6 9 47 50 -0.000290965 3.481274336348917
6 9 48 51 -0.000265271 3.412664174598608
6 9 49 52 -0.000255795 3.532284676461936
6 9 50 53 -0.000247393 3.6609952534480623
6 9 51 54 -0.000234664 3.715582240248583
6 9 52 55 -0.000211233 3.573234363854903
6 9 53 56 -0.000195352 3.5254598107680133
6 9 54 57 -0.000181602 3.491579395552396
6 9 55 58 -0.000176754 3.615795614975333
6 9 56 59 -0.000172492 3.7496441766876236
6 9 57 60 -0.000165902 3.8276671284301567
6 9 58 61 -0.000157655 3.8560906034895224
6 9 59 62 -0.00014371 3.7221875993727975
6 9 60 63 -0.000141096 3.8657241556408644
6 9 61 64 -0.00013391 3.8768982617520744
6 9 62 1 -0.119123165 4.923465484875583
6 9 63 2 -0.182479471 5.302343104697138
6 9 64 3 -0.309822107 5.807241000587662
7 10 8 11 3.40134344 8.548508450751854
7 10 9 12 -0.646700621 10.158349600027808
7 10 11 14 -1.77984461 8.697961613144825
7 10 12 15 -0.547145786 7.639596363289815
7 10 13 16 -0.22908795 6.477309186713505
7 10 14 17 -0.121152995 5.920652251926234
7 10 15 18 -0.074874315 5.749934616471663
7 10 16 19 -0.04659614 5.269899279947115
7 10 17 20 -0.029660668 4.710854465962385
7 10 18 21 -0.020488827 4.405601089385043
7 10 19 22 -0.014763443 4.174265166344243
7 10 20 23 -0.01147856 4.167044240064588
7 10 21 24 -0.008910715 4.071548038660238
7 10 22 25 -0.006979405 3.9467605453970185
7 10 23 26 -0.005352864 3.692159999877447
7 10 24 27 -0.004264151 3.542557398205149
7 10 25 28 -0.003558764 3.5217588540518383
7 10 26 29 -0.003057785 3.5692796666341575
7 10 27 30 -0.002643167 3.6075198061107785
7 10 28 31 -0.002266626 3.588891057377961
7 10 29 32 -0.001950872 3.5581350970790435
7 10 30 33 -0.001700443 3.5495281594617993
7 10 31 34 -0.001486332 3.5301039671485355
7 10 32 35 -0.001330761 3.5768287950983852
7 10 33 36 -0.001157424 3.5032330790467823
7 10 34 37 -0.001019325 3.458488246150062
7 10 35 38 -0.000877062 3.32175346277543
7 10 36 39 -0.000781836 3.2924133624349543
7 10 37 40 -0.000707617 3.3012208876015285
7 10 38 41 -0.000648169 3.338599053990042
7 10 39 42 -0.000608263 3.4481391837053303
7 10 40 43 -0.000562763 3.5005847708941125
7 10 41 44 -0.000511259 3.479851160319352
7 10 42 45 -0.000461072 3.424898742414292
7 10 43 46 -0.000425726 3.4426160529844783
7 10 44 47 -0.000395808 3.476182491845251
7 10 45 48 -0.000377254 3.5904321042185243
7 10 46 49 -0.000344832 3.5489618168747326
7 10 47 50 -0.00032137 3.5695450823441215
7 10 48 51 -0.000294718 3.5261774091732
7 10 49 52 -0.0002825 3.634312191397125
7 10 50 53 -0.000274867 3.7956507834987505
7 10 51 54 -0.000254014 3.7589747822669035
7 10 52 55 -0.000236258 3.7408210416452876
7 10 53 56 -0.000219738 3.717105625753309
7 10 54 57 -0.000208264 3.758478858828113
7 10 60 63 -0.000140196 3.631172588418821
7 10 62 1 -0.081586676 4.528121828589602
7 10 63 2 -0.115918491 4.791013481696536
7 10 64 3 -0.176990362 5.142844948013633
8 11 9 12 3.45606185 8.686030814649545
8 11 10 13 -0.745665115 11.712880236610966
8 11 12 15 -1.89986165 9.28447551496419
8 11 13 16 -0.540878783 7.552092494023927
8 11 14 17 -0.239634505 6.77550600409163
8 11 15 18 -0.133700009 6.5338150275889415
8 11 16 19 -0.077242706 5.931813988539908
8 11 17 20 -0.046299771 5.236380735713651
8 11 18 21 -0.030454451 4.836927020719244
8 11 19 22 -0.02106451 4.529387075373429
8 11 20 23 -0.015833604 4.476846060562491
8 11 21 24 -0.011946209 4.336814147772695
8 11 22 25 -0.009145089 4.178639893804629
8 11 23 26 -0.006871466 3.885722478898569
8 11 24 27 -0.005376063 3.7081616057163322
8 11 25 28 -0.004412675 3.665947680352995
8 11 26 29 -0.003737485 3.6986214569541382
8 11 27 30 -0.003192691 3.72675223017507
8 11 28 31 -0.002725049 3.7192762470636054
8 11 29 32 -0.002324372 3.680323919702556
8 11 30 33 -0.002020026 3.684262938630618
8 11 31 34 -0.001740671 3.633500641220276
8 11 32 35 -0.001550107 3.6815724011894484
8 11 33 36 -0.00132868 3.571235468631349
8 11 34 37 -0.001169182 3.5388216054151935
8 11 35 38 -0.001000251 3.3937716888135245
8 11 36 39 -0.000896012 3.3935240196113146
8 11 37 40 -0.000806773 3.397426321698842
8 11 38 41 -0.000736678 3.436798156398898
8 11 39 42 -0.000689623 3.5521209675405254
8 11 40 43 -0.000634489 3.596809903824516
8 11 41 44 -0.000574022 3.570619730433913
8 11 42 45 -0.000513056 3.4920823240447705
8 11 43 46 -0.000475329 3.530801467738321
8 11 44 47 -0.000430486 3.4811076001584964
8 11 45 48 -0.000407747 3.58103672109312
8 11 46 49 -0.000368784 3.509820739136296
8 11 47 50 -0.000341892 3.5187037557272416
8 11 48 51 -0.000310681 3.450819416024377
8 11 49 52 -0.000298661 3.573353752404254
8 11 50 53 -0.000288914 3.716827159169235
8 11 51 54 -0.000269799 3.725666543227013
8 11 52 55 -0.000245438 3.6320645815192245
8 11 53 56 -0.000226611 3.588074042226211
8 11 54 57 -0.000211713 3.581354082339469
8 11 55 58 -0.000205844 3.71480583402131
8 11 56 59 -0.000197948 3.8058565334677246
8 11 57 60 -0.000190895 3.905073174698826
8 11 58 61 -0.000180833 3.930961467215599
8 11 59 62 -0.000165909 3.8278286314252927
8 11 60 63 -0.000153781 3.761336266501045
8 11 62 1 -0.061186922 4.374057704557876
8 11 63 2 -0.082299986 4.567711069626353
8 11 64 3 -0.116851417 4.82957213618614
