,k,rhoa,r
646,-2375.044046113875,1.0,-0.00042104482299443365
647,-2687.807048071285,1.0,-0.000372050516318714
648,-3026.7499888085767,1.0,-0.00033038738042372347
649,-3392.9200658769864,1.0,-0.00029473137609610164
650,-3787.3644768276736,1.0,-0.00026403585029070344
651,-4211.130419211901,1.0,-0.000237465929679553
652,-4665.265090580819,1.0,-0.00021435009170625745
653,-5150.815688485627,1.0,-0.00019414400756669406
654,-5668.829410477594,1.0,-0.00017640326204766688
655,-6220.353454107875,1.0,-0.00016076256877969007
656,-6806.435016927535,1.0,-0.00014691978950992848
657,-7428.121296487948,1.0,-0.00013462354208900774
658,-8086.459490339976,1.0,-0.00012366351444591944
659,-8782.496796035577,1.0,-0.00011386283687019395
660,-9517.28041112493,1.0,-0.00010507203284996006
661,-10291.857533160337,1.0,-9.716418992179038e-05
662,-11107.275359691725,1.0,-9.003108031596999e-05
663,-11964.581088271543,1.0,-8.358002613064863e-05
664,-12864.821916449962,1.0,-7.773135193743508e-05
665,-13809.045041779282,1.0,-7.241630373240864e-05
666,-14798.297661809585,1.0,-6.757534027584337e-05
667,-15833.626974093131,1.0,-6.315672344916253e-05
668,-16916.080176179392,1.0,-5.9115349985640504e-05
669,-18046.704465621136,1.0,-5.541177902619251e-05
670,-19226.547039968704,1.0,-5.201141931107915e-05
671,-20456.65509677482,1.0,-4.8883847103511034e-05
672,-151.3501572596041,1.0,-0.006607194984837347
673,-129.270810198916,1.0,-0.00773569840292055
674,-108.4984980905439,1.0,-0.009216717444009984
675,2.5132741228718345,1.0,0.3978873577297384
676,-15.70796326794897,1.0,-0.06366197723675812
677,-4.886921905584123,1.0,-0.204627783975294
678,-13.962634015954636,1.0,-0.0716197243913529
679,-28.274333882308145,1.0,-0.03536776513153229
680,-48.869219055841214,1.0,-0.020462778397529406
681,-76.79448708775051,1.0,-0.013021768071155071
682,-113.09733552923261,1.0,-0.00884194128288307
683,-158.82496193148398,1.0,-0.006296239506932123
684,-215.0245638457016,1.0,-0.00465063145398395
685,-282.74333882308133,1.0,-0.0035367765131532306
686,-363.0284844148207,1.0,-0.0027546047842828027
687,-456.92719817211463,1.0,-0.00218853244893363
688,-565.4866776461632,1.0,-0.0017683882565766135
689,-689.7541203881602,1.0,-0.001449791991727789
690,-830.7767239493037,1.0,-0.00120369284691349
691,-989.6016858807833,1.0,-0.0010105075751866387
692,-1167.2762037338007,1.0,-0.0008566952678391546
693,-1364.8474750595656,1.0,-0.0007326826024690834
694,-1583.3626974092565,1.0,-0.0006315672344916479
695,-1823.86906833408,1.0,-0.000548284971417054
696,-2087.4137853852153,1.0,-0.0004790617016144013
697,-2375.044046113875,1.0,-0.00042104482299443365
698,-2687.807048071285,1.0,-0.000372050516318714
699,-3026.7499888085767,1.0,-0.00033038738042372347
700,-3392.9200658769864,1.0,-0.00029473137609610164
701,-3787.3644768276736,1.0,-0.00026403585029070344
702,-4211.130419211901,1.0,-0.000237465929679553
703,-4665.265090580819,1.0,-0.00021435009170625745
704,-5150.815688485627,1.0,-0.00019414400756669406
705,-5668.829410477594,1.0,-0.00017640326204766688
706,-6220.353454107875,1.0,-0.00016076256877969007
707,-6806.435016927535,1.0,-0.00014691978950992848
708,-7428.121296487948,1.0,-0.00013462354208900774
709,-8086.459490339976,1.0,-0.00012366351444591944
710,-8782.496796035577,1.0,-0.00011386283687019395
711,-9517.28041112493,1.0,-0.00010507203284996006
712,-10291.857533160337,1.0,-9.716418992179038e-05
713,-11107.275359691725,1.0,-9.003108031596999e-05
714,-11964.581088271543,1.0,-8.358002613064863e-05
715,-12864.821916449962,1.0,-7.773135193743508e-05
716,-13809.045041779282,1.0,-7.241630373240864e-05
717,-14798.297661809585,1.0,-6.757534027584337e-05
718,-15833.626974093131,1.0,-6.315672344916253e-05
719,-16916.080176179392,1.0,-5.9115349985640504e-05
720,-18046.704465621136,1.0,-5.541177902619251e-05
721,-19226.547039968704,1.0,-5.201141931107915e-05
722,-174.55587118795552,1.0,-0.005728824777960266
723,-151.3501572596041,1.0,-0.006607194984837347
724,-129.270810198916,1.0,-0.00773569840292055
725,2.5132741228718345,1.0,0.3978873577297384
726,-15.70796326794897,1.0,-0.06366197723675812
727,-4.886921905584123,1.0,-0.204627783975294
728,-13.962634015954636,1.0,-0.0716197243913529
729,-28.274333882308145,1.0,-0.03536776513153229
